Frame,Time,C7_X,C7_Y,C7_Z,STRN_X,STRN_Y,STRN_Z,RSHO_X,RSHO_Y,RSHO_Z,RELB_X,RELB_Y,RELB_Z,RWRA_X,RWRA_Y,RWRA_Z,LSHO_X,LSHO_Y,LSHO_Z,LELB_X,LELB_Y,LELB_Z,LWRA_X,LWRA_Y,LWRA_Z
47,0.46,10.616025,1341.9871,-211.48204,21.388643,1069.5365,21.149166,-126.2157,1332.3513,-121.59061,-236.95596,999.22406,-142.74612,-194.63304,802.03998,-22.978052,145.2509,1342.3248,-129.76624,262.67355,1007.5592,-131.75302,212.3643,797.07532,-46.160538
48,0.47,10.612197,1342.0057,-211.48889,21.424309,1069.5194,21.126026,-126.18665,1332.3322,-121.48676,-236.89047,999.20996,-142.75182,-194.61169,802.01898,-23.093212,145.26765,1342.311,-129.74516,262.65909,1007.557,-131.72093,212.36948,797.05042,-46.159393
49,0.48,10.642867,1342.0062,-211.49046,21.421753,1069.4916,21.13534,-126.18783,1332.3098,-121.48399,-236.84421,999.16406,-142.81187,-194.55412,801.95624,-23.221107,145.272,1342.3268,-129.70465,262.64719,1007.5382,-131.67783,212.41586,797.04559,-46.109776
50,0.49,10.643561,1342.005,-211.48715,21.482368,1069.5298,21.091204,-126.16409,1332.2996,-121.44487,-236.82669,999.18219,-142.87279,-194.5215,801.91785,-23.287487,145.28424,1342.3101,-129.70654,262.64545,1007.5353,-131.64417,212.41701,797.0462,-46.107876
51,0.5,10.636827,1341.9785,-211.39056,21.502785,1069.5339,21.135778,-126.16119,1332.2939,-121.41571,-236.33119,999.1792,-143.17735,-194.46878,801.83075,-23.403433,145.31213,1342.3033,-129.68913,262.65399,1007.5188,-131.60573,212.39752,797.52179,-44.804623
52,0.51,10.636103,1341.9753,-211.38342,21.538864,1069.5084,21.148478,-126.16198,1332.2899,-121.46383,-236.30078,999.14978,-143.13513,-194.39224,801.79474,-23.506804,145.32877,1342.2849,-129.66821,262.6568,1007.5177,-131.5703,212.39964,797.46912,-44.814022
53,0.52,10.664987,1341.9968,-211.39732,21.538656,1069.4475,21.167387,-126.11949,1332.287,-121.39885,-236.61737,999.11267,-142.97302,-194.34537,801.75073,-23.572239,145.32155,1342.3019,-129.6265,262.6712,1007.5363,-131.52411,212.39642,797.46631,-44.75193
54,0.53,10.666306,1342.0165,-211.40504,21.541893,1069.4456,21.169901,-126.11967,1332.2751,-121.38396,-236.58647,999.1059,-143.03328,-194.29578,801.70538,-23.701328,145.35326,1342.3044,-129.63664,262.66818,1007.5177,-131.52422,212.38718,797.45984,-44.709702
55,0.54,10.696336,1342.0443,-211.44353,21.561008,1069.4337,21.193075,-126.1203,1332.251,-121.34731,-236.5565,999.11389,-143.09706,-194.22105,801.66376,-23.765305,145.37151,1342.321,-129.61818,262.68134,1007.5189,-131.45752,212.42766,797.48999,-44.624424
56,0.55,10.672157,1342.0367,-211.41104,21.588564,1069.4352,21.190722,-126.12076,1332.2599,-121.33068,-236.49663,999.10516,-143.13676,-194.18959,801.62787,-23.78705,145.38316,1342.3239,-129.61082,262.66638,1007.5063,-131.4471,212.43224,797.48425,-44.554699
57,0.56,10.670529,1342.019,-211.40933,21.614401,1069.4401,21.158094,-126.09628,1332.2461,-121.3125,-236.46069,999.07764,-143.13,-194.1821,801.55035,-23.858154,145.38449,1342.322,-129.60085,262.65686,1007.4978,-131.43112,212.45662,797.51483,-44.465145
58,0.57,10.645345,1342.0037,-211.36107,21.639868,1069.4558,21.17551,-126.11018,1332.2343,-121.29152,-236.06068,999.08923,-143.32483,-194.13826,801.52191,-23.892355,145.3721,1342.3287,-129.59784,262.6846,1007.52,-131.36575,212.46413,797.54633,-44.365166
59,0.58,10.658668,1341.9811,-211.33037,21.675142,1069.4222,21.167545,-126.09596,1332.2196,-121.24567,-236.01482,999.05878,-143.32399,-194.08524,801.48657,-23.890545,145.37912,1342.3182,-129.61732,262.69882,1007.522,-131.36522,212.48163,797.57458,-44.280273
60,0.59,10.660352,1341.9836,-211.33699,21.672831,1069.4202,21.13965,-126.08434,1332.1991,-121.23811,-236.3481,999.04749,-143.19125,-194.039,801.45789,-23.925402,145.38892,1342.326,-129.58086,262.73282,1007.5258,-131.34503,212.47571,797.57983,-44.250019
61,0.6,10.66125,1341.9788,-211.32597,21.696407,1069.424,21.14924,-126.07053,1332.1892,-121.23016,-236.30679,999.02631,-143.14572,-193.97752,801.43829,-23.968405,145.40038,1342.3119,-129.60152,262.7334,1007.5262,-131.34618,212.52498,797.633,-44.107262
62,0.61,10.662001,1341.9785,-211.32492,21.722422,1069.4297,21.173347,-126.07332,1332.1819,-121.2765,-236.27762,999.01245,-143.17863,-193.92542,801.45117,-23.924891,145.40033,1342.3105,-129.60304,262.76871,1007.5291,-131.28975,212.53395,797.6875,-43.936295
63,0.62,10.664954,1341.9498,-211.30273,21.745804,1069.4313,21.203871,-126.06296,1332.1581,-121.17539,-236.23792,999.00751,-143.17024,-193.90045,801.42822,-23.962141,145.41339,1342.3129,-129.58641,262.75336,1007.5361,-131.28094,212.51498,797.71478,-43.800995
64,0.63,10.69669,1341.9363,-211.34564,21.745039,1069.434,21.233192,-126.04108,1332.152,-121.32047,-236.22636,998.97076,-143.1367,-193.85487,801.41205,-23.936739,145.42345,1342.3119,-129.63504,262.75809,1007.5405,-131.22977,212.5311,797.72461,-43.721039
65,0.64,10.694309,1341.9196,-211.35637,21.775232,1069.4507,21.240866,-126.05345,1332.1305,-121.3455,-236.23476,998.96936,-143.15695,-193.80809,801.37024,-23.906252,145.40785,1342.3046,-129.65721,262.79083,1007.5203,-131.18849,212.54694,797.68573,-43.72509
66,0.65,10.706082,1341.9475,-211.44373,21.78586,1069.4668,21.238613,-126.04454,1332.1066,-121.30653,-236.19508,998.9137,-143.10352,-193.77205,801.37164,-23.846928,145.4455,1342.3013,-129.68889,262.78305,1007.5219,-131.14693,212.54735,797.71503,-43.563374
67,0.66,10.725676,1341.892,-211.44513,21.810844,1069.4675,21.234394,-126.0408,1332.0649,-121.34111,-236.21918,998.90015,-143.06203,-193.68953,801.33661,-23.790663,145.45917,1342.2925,-129.69049,262.80145,1007.4951,-131.08833,212.57608,797.672,-43.545353
68,0.67,10.723083,1341.8547,-211.43097,21.807045,1069.4689,21.2337,-126.01057,1332.0688,-121.49207,-236.1783,998.84467,-142.99867,-193.65744,801.34705,-23.75775,145.45811,1342.2753,-129.71696,262.81122,1007.4868,-131.01492,212.59146,797.64008,-43.590469
69,0.68,10.760135,1341.8323,-211.45621,21.825924,1069.4735,21.240116,-126.0235,1332.0361,-121.46847,-236.14035,998.83154,-142.94548,-193.61626,801.35339,-23.71347,145.47403,1342.2656,-129.75151,262.80682,1007.4868,-130.96828,212.60948,797.61877,-43.54438
70,0.69,10.792885,1341.7994,-211.5294,21.828375,1069.4905,21.259968,-126.00778,1332.0393,-121.50922,-236.11113,998.79285,-142.92583,-193.55823,801.36731,-23.611826,145.48666,1342.2552,-129.75404,262.79929,1007.4838,-130.84032,212.61646,797.59601,-43.500206
71,0.7,10.783998,1341.7728,-211.51007,21.825693,1069.4868,21.268837,-125.98796,1332.0387,-121.5226,-236.08078,998.7804,-142.87437,-193.49144,801.38312,-23.539989,145.51302,1342.2344,-129.8194,262.78119,1007.4933,-130.8083,212.65868,797.56781,-43.478615
72,0.71,10.836273,1341.7886,-211.55663,21.831432,1069.4801,21.310074,-125.97614,1332.0171,-121.50195,-236.04332,998.7373,-142.81844,-193.45847,801.40741,-23.460003,145.52467,1342.2482,-129.81956,262.77664,1007.4843,-130.71211,212.6554,797.51605,-43.418743
73,0.72,10.840819,1341.718,-211.54718,21.866749,1069.5272,21.285467,-125.94298,1332.0143,-121.60715,-236.02235,998.71771,-142.80807,-193.41478,801.38647,-23.368351,145.56575,1342.235,-129.79529,262.77585,1007.4854,-130.65056,212.68158,797.47821,-43.422775
74,0.73,10.865855,1341.718,-211.54555,21.889553,1069.5253,21.311441,-125.92197,1331.9893,-121.59986,-235.9469,998.70905,-142.76924,-193.34926,801.38391,-23.314325,145.5878,1342.2349,-129.8103,262.76715,1007.4625,-130.58041,212.71884,797.41003,-43.529259
75,0.74,10.892403,1341.6879,-211.54269,21.890541,1069.5247,21.311392,-125.89951,1331.9865,-121.67188,-235.88475,998.69165,-142.75127,-193.27234,801.40839,-23.190042,145.58638,1342.2095,-129.8047,262.79391,1007.4479,-130.51344,212.71252,797.41724,-43.400677
76,0.75,10.925975,1341.7017,-211.66454,21.889982,1069.5299,21.300055,-125.86304,1331.9878,-121.70787,-235.85193,998.64777,-142.63589,-193.24625,801.39355,-23.128763,145.62173,1342.2015,-129.79155,262.80682,1007.4395,-130.43947,212.72958,797.35388,-43.429771
77,0.76,10.997181,1341.6644,-211.6208,21.933014,1069.5306,21.314617,-125.84488,1331.97,-121.73614,-235.80827,998.63812,-142.57141,-193.17307,801.41608,-23.06604,145.66063,1342.1826,-129.79356,262.80594,1007.4171,-130.35904,212.76015,797.3075,-43.295464
78,0.77,11.012964,1341.627,-211.60483,21.934826,1069.5199,21.366379,-125.78587,1331.9512,-121.7965,-235.74388,998.59924,-142.5347,-193.12434,801.4068,-22.937254,145.67075,1342.1625,-129.79915,262.80508,1007.4077,-130.27156,212.77342,797.23792,-43.354012
79,0.78,11.070753,1341.5919,-211.6183,21.931299,1069.5359,21.352772,-125.76403,1331.9663,-121.88164,-235.69731,998.59698,-142.45747,-193.05196,801.40051,-22.849033,145.71353,1342.1534,-129.85086,262.81076,1007.3714,-130.16917,212.84103,797.14453,-43.439293
80,0.79,11.092124,1341.5999,-211.69601,21.93037,1069.5321,21.360464,-125.72742,1331.9542,-121.86237,-235.63684,998.55402,-142.37825,-192.99649,801.37756,-22.782232,145.75278,1342.146,-129.85219,262.79825,1007.357,-130.04051,212.84766,797.09564,-43.425751
81,0.8,11.163524,1341.5786,-211.66423,21.949963,1069.52,21.381943,-125.70473,1331.9575,-121.90401,-235.59167,998.5304,-142.33463,-192.91988,801.36383,-22.682909,145.75407,1342.1082,-129.84753,262.76114,1007.351,-129.93808,212.94049,796.9978,-43.597511
82,0.81,11.176405,1341.5607,-211.73112,21.994486,1069.5306,21.356169,-125.69271,1331.9692,-122.00287,-235.33243,998.45673,-142.31071,-192.85469,801.34241,-22.683289,145.81223,1342.1082,-129.86971,262.77612,1007.353,-129.85841,212.96474,796.94666,-43.607643
83,0.82,11.203574,1341.5613,-211.73137,22.011786,1069.5151,21.395233,-125.66601,1331.9473,-121.99242,-234.95972,998.4696,-142.39262,-192.78223,801.2995,-22.564417,145.84019,1342.1101,-129.82339,262.74625,1007.3415,-129.77933,212.98837,796.94519,-43.493729
84,0.83,11.227935,1341.5609,-211.77448,22.08901,1069.5302,21.483027,-125.6159,1331.9275,-121.99372,-235.23428,998.45313,-142.15875,-192.74115,801.24152,-22.528454,145.86375,1342.1122,-129.79724,262.73706,1007.3309,-129.72478,213.01146,796.90155,-43.523746
85,0.84,11.299835,1341.5342,-211.72041,22.127697,1069.5331,21.524858,-125.61623,1331.9268,-121.98884,-234.79922,998.39569,-142.21159,-192.6689,801.19922,-22.466604,145.91147,1342.1318,-129.82649,262.7377,1007.3526,-129.63434,213.03708,796.89221,-43.445278
86,0.85,11.355368,1341.5609,-211.81705,22.131226,1069.5171,21.577826,-125.55796,1331.9182,-122.04648,-235.0842,998.37122,-141.97523,-192.6044,801.12872,-22.470818,145.96941,1342.1415,-129.81589,262.76135,1007.3547,-129.56488,213.03423,796.87646,-43.447277
